source_id,product_id,information_type,source_name,source_url,source_type,owner,document_updated_at,retrieved_at,source_priority,status,notes
SRC-005,ai_mindclip,Feishu internal product marketing document,SwitchBot AI MindClip 产品营销文档-JP,https://ihqz5dyhwa.feishu.cn/docx/FpEXdODoGoIyNxx0E9NcMhgonGg,Feishu internal product marketing document,Product Marketing,2026-07-28,2026-07-30,P3,internal_verification,"Contains product positioning, proof boards, competitor comparison, specifications, and privacy FAQ."
SRC-006,video_doorbell,Feishu internal product marketing document,SwitchBot Smart VideoDoorbell——JP 产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/GsomdZSIXoeuOmxpgSCcfbeCnUo,Feishu internal product marketing document,Product Marketing,2025-09-25,2026-07-30,P3,internal_verification,Outline contains a high-risk superlative; not imported as an approved claim.
SRC-007,circulator_fan_2_pro,Feishu internal product marketing document,JP 产品营销文档-スマートサーキュレーター 2 Pro,https://ihqz5dyhwa.feishu.cn/docx/SZasdug4ioSa0vxY3ZZcNIyOnTb,Feishu internal product marketing document,Product Marketing,2026-07-06,2026-07-30,P3,internal_verification,
SRC-008,curtain_3,Feishu internal product marketing document,SwitchBot Curtain 3 2025——产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/FCQddZhoWoEltKxpefbcWsxMnch,Feishu internal product marketing document,Product Marketing,2025-06-12,2026-07-30,P3,internal_verification,
SRC-009,k10_pro_combo,Feishu internal product marketing document,SwitchBot K10+ Pro Combo—JP 产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/XamedTFtEoRHP9xAumYc4oG7nah,Feishu internal product marketing document,Product Marketing,2024-11-12,2026-07-30,P3,internal_verification,
SRC-010,,Feishu internal product marketing document,SwitchBot AI Art Frame 产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/E5etdkQf9o1HYex06EacvneWnzd,Feishu internal product marketing document,Product Marketing,2026-07-22,2026-07-30,P3,internal_verification,Product naming between Canvas and Frame requires confirmation.
SRC-011,kata_friends,Feishu internal product document,KATA Friends产品介绍,https://ihqz5dyhwa.feishu.cn/docx/HWjvdbPP9ozA6sxdWrfcvB9mn7g,Feishu internal product document,Product Team,2026-07-21,2026-07-30,P3,internal_verification,
SRC-012,,Feishu spreadsheet,homerunPET日本产品信息报价表,https://ihqz5dyhwa.feishu.cn/sheets/BUQbsnRpshRtm5tDEZJcnZfMnAc,Feishu spreadsheet,Japan Marketing,2026-07-29,2026-07-30,P3,internal_verification,Registered for later structured import.
SRC-013,homerunpet_series,Feishu spreadsheet,homerunPET日本产品标准名称EAN规格表,https://ihqz5dyhwa.feishu.cn/sheets/XeqIsYzWVh8eVWtkRHNcALuAndh,Feishu spreadsheet,Japan Marketing,2026-07-30,2026-07-30,P3,internal_verification,Intended source for product-level expansion under the series profile.
SRC-014,,Feishu spreadsheet,homerunPET_APP_FAQ,https://ihqz5dyhwa.feishu.cn/sheets/NiJWsOUg0hk3vEtAzSrcR98cnsd,Feishu spreadsheet,Japan Marketing,2026-07-08,2026-07-30,P3,internal_verification,
SRC-015,relay_switch_1,Feishu internal product marketing document,SwitchBot Relay Switch 产品营销文档 Global,https://ihqz5dyhwa.feishu.cn/docx/K2zKdOPd0ohgihxnXBJc7waanPd,Feishu internal product marketing document,Product Marketing,2025-04-17,2026-07-30,P3,internal_verification,
SRC-016,weather_station,Feishu spreadsheet,产品规格书 Weather Station,https://ihqz5dyhwa.feishu.cn/sheets/Rb2GsRufJhEgUwtrIHjcWZwonHe,Feishu spreadsheet,Product Team,2026-06-15,2026-07-30,P3,internal_verification,
SRC-017,daily_station,Feishu internal draft,Daily Station产品故事（输入中）,https://ihqz5dyhwa.feishu.cn/docx/PQMYdKIUVopp0NxEh1AcCMF7nAd,Feishu internal draft,Product Marketing,2026-03-05,2026-07-30,P3,internal_verification,
SRC-018,s10,Feishu internal product document,S10 产品介绍,https://ihqz5dyhwa.feishu.cn/docx/QtLOdHKENoD7unxMYBBc412Znxx,Feishu internal product document,Product Marketing,2024-05-29,2026-07-30,P3,internal_verification,
