rule_id,rule,rule_type,confidence,human_decision,supporting_samples,anti_pattern_samples,evidence_type,notes
R-MODULE-003,每个模块只回答一个消费者问题；长内容必须分章。,Soft,High,Not Required — retained from v0.1,SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,SBG_021,inferred,Deviation requires explanation.
R-MODULE-004,按 Campaign 使用 Launch、Promotion 或 Education 的推荐模块顺序。,Soft,Medium,Not Required — retained from v0.1,SBG_005|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,,inferred,"Sequence is adaptable, not a template implementation."
R-CTA-005,CTA 使用动作加对象或目的地；避免只有 こちら 或含义相同的双按钮。,Soft,High,Not Required — retained from v0.1,SBG_003|SBG_005|SBG_006|SBG_019|JPN_014,SBG_021|SBL_003,inferred,CTA destination remains a Hard requirement under R-CTA-004.
R-COPY-005,日本文案优先使用具体场景、用户利益与已确认产品能力，避免中文直译和无事实夸张。,Soft,Medium,Not Required — retained from v0.1,SBG_007|SBG_016|SBG_019|JPN_002|JPN_014|JPN_020,,inferred,Japan consumer readability principle.
R-HERO-003,可测试 Product Launch 40%–55%、Lifestyle 35%–50% 的产品视觉面积；仅为视觉估算。,Experimental,Low,Downgrade,SBG_001|SBG_007|SBG_016|SBG_019,SBG_008|SBG_021,visually_estimated,Human downgraded; cannot block production.
R-MOBILE-001,使用 390px 作为默认 Mobile QA 视口，不把 390px 写成邮件内容宽度。,Experimental,Low,Keep,,,human_decision,0 independently rendered Tier A/B/C pairs; cannot block.
R-MOBILE-002,Desktop 双栏默认按语义顺序在 Mobile 堆叠；3–4 列 Grid 默认测试为 1 列，可按实际内容优化。,Experimental,Low,Keep,SBG_001,,inferred,"8 source-code records, 0 independent rendered pairs; Human kept Experimental."
R-MOBILE-003,Mobile 正文目标不低于 16px、CTA 目标高不低于 44px、图片目标为 100% 内容宽并保持比例。,Experimental,Low,Keep,,,human_decision,Experimental QA target; cannot block.
R-CTA-003,CTA 尺寸根据实际排版、文案和可读性确定；Desktop 不冻结固定宽度，Mobile 参考 R-MOBILE-003。,Experimental,Low,Modify,,,human_decision,Human note: 根据实际排版而定。 Cannot block production.
HC-SBL-001,SBL_001 样本分类与规则证据贡献。,Removed,Not Applicable,Remove,,SBL_001,human_decision,Final: classification=Reject; Tier=Not Applicable; Anchor=false; positive evidence=none; anti-pattern only. Human note: 和当前的edm模版有点不适配。
R-SPACING-001,为 Padding 与 Module Spacing 冻结统一数值范围。,Removed,Not Applicable,Remove,,,human_decision,Removed from Generator Rules. Reconsider only after 600/390 Renderer measurement.
